gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Alad,-0.926905225,0.182697047,-0.792907829,0.105024809,-0.078051462,0.875907021,0.055945934,0.895443133,17025
Alas2,-1.221016158,0.127593413,-0.919223792,0.080469657,-0.826264926,0.092356575,-0.524472561,0.212148228,11656
Alb,-0.208552685,0.28679933,-0.17012978,0.213880146,0.157124139,0.243322245,0.195547044,0.101505731,11657
Alcam,0.080015475,0.671805685,0.216475739,0.105167616,0.920260638,1.15E-05,1.056720903,9.43E-07,11658
Aldh16a1,0.283372516,0.142058098,0.100443198,0.405873622,0.220978685,0.068933436,0.038049367,0.717695836,69748
Aldh18a1,-0.207957405,0.319465387,-0.290050879,0.072338547,0.368528776,0.019633838,0.286435303,0.033619537,56454
Aldh18a1,0.15994485,0.806168329,-0.222939525,0.615737243,-1.718188554,0.000958493,-2.101072929,6.79E-05,56454
Aldh1a1,-1.227743601,0.140177913,-0.888738573,0.098869657,-0.37524406,0.459524862,-0.036239031,0.938629833,11668
Aldh1a7,-1.609093092,0.118942239,-1.059630081,0.099373639,0.855709595,0.160011972,1.405172606,0.015211845,26358
Aldh1b1,0.115090945,0.635357922,-0.407543996,0.040783371,-3.175748464,3.33E-09,-3.698383404,2.40E-10,72535
Aldh1l1,0.329741255,0.340416232,0.575922535,0.043748439,2.423948495,6.97E-07,2.670129776,7.66E-08,107747
Aldh1l2,-0.475177628,0.184891714,-0.085984038,0.746794122,-2.982278129,1.13E-07,-2.593084539,9.17E-08,216188
Aldh2,0.646530138,0.316817581,0.445936924,0.329057166,0.249547765,0.583553328,0.048954551,0.906688234,11669
Aldh2,0.133814835,0.47586616,-0.013738903,0.927640028,-0.092625011,0.475338629,-0.240178748,0.043158524,11669
Aldh3a2,0.104944773,0.628354836,0.225550134,0.136866378,-0.433356036,0.008639922,-0.312750675,0.023107278,11671
