gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Gp5,-0.298825939,0.587125491,-0.500431728,0.700598262,-0.205872399,0.843205767,-0.004266611,0.997502492,14729
Gpi,0.204059061,0.691418223,0.611438857,0.636038213,-0.932483014,0.238371772,-1.339862809,0.038625725,14751
Gpld1,-0.46828563,0.243535521,-0.279494715,0.733939076,0.264072334,0.676295401,0.075281419,0.883603821,14756
Gpx1,-0.476843834,0.531955923,-0.55414829,0.733939076,-0.23453843,0.849113941,-0.157233973,0.870889014,14775
Gpx3,-0.220854379,0.577787422,-0.110081133,0.873783619,0.431927843,0.518685,0.321154597,0.457812826,14778
Gpx5,1.276522989,0.456975809,-0.483800763,0.870161547,-0.105836215,0.967382967,1.654487537,0.342516782,14780
Gsn,-0.125919775,0.802911232,-0.503678483,0.654905946,0.649811078,0.452135056,1.027569785,0.067960094,227753
Gsr,1.856813278,0.09233901,0.184230066,0.904925449,-0.399426681,0.816963788,1.273156532,0.196122578,14782
Gstm1,-0.762928519,0.555822096,-0.276652387,0.893510112,-0.20175045,0.929238792,-0.688026581,0.640435312,14862
H2-Q10,-0.508405304,0.278890075,-0.086445109,0.904925449,0.282526553,0.680889214,-0.139433643,0.808578776,15007
H2-Q4,1.163723291,0.031842266,-0.159098194,0.843524622,-0.629637166,0.383467267,0.69318432,0.141334366,15015
H2-Q7,-0.036641628,0.96785525,-0.264894456,0.859164444,0.533073854,0.680889214,0.761326682,0.378992466,15018
H6pd,0.723996867,0.129548072,0.376284503,0.700598262,-0.056407714,0.939253848,0.29130465,0.53066902,100198
Habp2,1.906682705,0.14636331,0.855580911,0.733939076,-0.231534434,0.922086131,0.81956736,0.523869197,226243
Hadha,1.816694253,0.191550402,0.164549694,0.940812114,-2.071887005,0.323901929,-0.419742446,0.801666384,97212
Hagh,-0.807820722,0.4056235,-0.253359802,0.873783619,-0.714636551,0.619677664,-1.26909747,0.193668901,14651
Hba,-1.554712854,0.118480844,-0.566195026,0.73959492,-0.002131617,0.99704776,-0.990649445,0.264056527,15121
Hbb-b1,-1.606266314,0.577787422,1.825574232,0.74013472,-1.611326268,0.710448495,-5.043166815,0.112846855,15129
Hbb-b2,-1.652221072,0.322193763,-0.448192125,0.873783619,-1.653254148,0.52030076,-2.857283095,0.101870887,15130
Hbb-bs,-1.729390439,0.23100269,-0.698815058,0.767769791,0.130897458,0.946347929,-0.899677923,0.54874194,100503605
Hbb-y,0.103224268,0.96785525,-0.03580789,0.997159878,-0.312600911,0.936684623,-0.173568753,0.966638845,15135
